Acidimicrobiia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Babeliae	Bacilli	Bacteroidia	BD2-11_terrestrial_group	Blastocatellia_(Subgroup_4)	Campylobacteria	Chlamydiae	Chloroflexia	Chthonomonadetes	Clostridia	Coriobacteriia	Deinococci	Deltaproteobacteria	Erysipelotrichia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gracilibacteria	Holophagae	KD4-96	Kiritimatiellae	Leptospirae	Melainabacteria	Methanobacteria	Mollicutes	NC10	Negativicutes	Nitrososphaeria	OM190	Oxyphotobacteria	Parcubacteria	Phycisphaerae	Planctomycetacia	Saccharimonadia	Spirochaetia	Subgroup_17	Subgroup_6	Thermoleophilia	Thermoplasmata	TK10	Verrucomicrobiae	NA
SG17.3M.S42	0	0	1037	23310	0	0	66	75	0	0	130	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	38248	0	0	0	0	0	0	104
SG17.4F.S32	0	0	134	70745	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	45	0	5	0	0	0	0	0	0	92
SG17.4M.S43	0	0	491	33401	0	0	51	251	0	0	0	0	71	0	0	0	332	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	110
SG17.5F.S33	0	0	76	58410	0	0	36	76	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	50
SG17.5M.S44	0	0	66	53376	0	0	0	34	0	0	0	0	0	0	63	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11297	0	0	0	0	0	0	81
SG17.6F.S34	0	0	2	50084	0	0	0	62	0	12	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	16	0	0	0	0	0	0	75
SG17.6M.S45	0	0	126	50920	0	0	46	0	0	0	0	0	0	0	59	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4178	0	0	0	0	0	0	21
SG17.7F.S35	0	0	202	71771	0	0	23	13	0	0	0	0	0	0	80	2	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18351	0	0	0	0	0	0	139
SG17.7M.S46	0	0	1623	10216	0	0	426	384	0	0	0	0	0	0	0	0	0	0	0	0	1548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	212
SG17.8F.S36	0	0	75	83623	0	0	0	1	0	0	0	0	0	0	31	0	0	0	0	0	36	0	0	0	0	0	36	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	105
SG17.8M.S47	0	0	540	28290	0	0	85	135	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32423	0	0	0	0	0	0	68
SG17.9F.S37	0	0	92	62539	0	0	33	9	0	0	0	0	0	0	11	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13404	0	0	0	0	0	0	87
SG17.9M.S48	0	0	87	55628	0	0	107	165	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	1255	0	0	0	0	0	0	95
TSA17.1F.S28	0	0	46	74224	0	0	123	79	0	0	0	0	0	0	0	0	0	15	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	28	108
TSA17.1M.S27	0	0	0	79914	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	35
WW18.10M.S20	0	0	47	33813	0	0	0	11	0	0	0	0	0	0	27	0	0	0	0	0	1545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8135	0	0	0	0	0	0	51
WW18.1F.S8	0	0	48	83258	0	0	0	75	0	0	0	0	0	0	5	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	29
WW18.1M.S11	0	0	5490	1540	0	0	776	454	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	3	0	0	0	0	0	0	144
