11-24	Absconditabacteriales_(SR1)	Acetobacterales	Acidobacteriales	Actinomycetales	Anaerolineales	Babeliales	Bacillales	Bacteroidales	Bacteroidetes_VC2.1_Bac22	Bdellovibrionales	Betaproteobacteriales	Blastocatellales	Caedibacterales	Campylobacterales	Candidatus_Kaiserbacteria	Candidatus_Peribacteria	Candidatus_Vogelbacteria	Candidatus_Zambryskibacteria	Caulobacterales	CCD24	CCM19a	Cellvibrionales	Chitinophagales	Chlamydiales	Chloroplast	Chthoniobacterales	Chthonomonadales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Deinococcales	Diplorickettsiales	Dongiales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Frankiales	Fusobacteriales	Gaiellales	Gastranaerophilales	Gemmatales	Gemmatimonadales	IMCC26256	Isosphaerales	Kallotenuales	Kineosporiales	Lactobacillales	Legionellales	Leptospirales	Methanobacteriales	Methanomassiliicoccales	Micrococcales	Micromonosporales	Microtrichales	Mollicutes_RF39	Myxococcales	NB1-j	Nitrososphaerales	Oceanospirillales	Oligoflexales	Paracaedibacterales	Pasteurellales	PB19	Pedosphaerales	PeM15	Pirellulales	Planctomycetales	PLTA13	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Pyrinomonadales	Reyranellales	Rhizobiales	Rhodobacterales	Rickettsiales	Rokubacteriales	Saccharimonadales	Salinisphaerales	Selenomonadales	Solibacterales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Subgroup_7	Tepidisphaerales	Thermomicrobiales	Unknown_Order	Verrucomicrobiales	WCHB1-41	Xanthomonadales	NA
CR17.22F.S77	0	0	0	0	0	47	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	6	0	0	0	0	0	0	18	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	178	0	78149	0	0	0	0	0	0	87	54	3	0	0	0	0	0	0	0	0	20
IS17.21F.S84	0	0	13	0	0	0	0	0	71	0	0	155	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	45	0	0	21	0	0	0	0	0	35	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	4	2	0	0	0	60	36	73117	0	0	0	0	0	0	1	386	1	0	0	0	0	0	0	0	0	119
IS17.22F.S85	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	3	0	0	0	17	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	62037	0	0	0	0	0	0	0	26	4	0	0	0	0	0	0	0	0	33
IS17.23F.S86	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	44	0	0	0	1	0	49724	0	0	0	0	0	0	49	45	0	0	0	0	0	0	0	0	51	49
IS17.24F.S87	0	0	0	0	0	0	0	0	168	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	93	0	0	0	0	93	3	0	0	0	11	0	0	0	0	0	0	346	0	0	0	0	54	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	20	0	53330	0	0	0	76	0	0	0	325	21790	0	62	0	0	0	206	0	0	195
IS17.25F.S88	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	8	0	0	0	0	0	0	28	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	59084	0	0	0	0	0	0	62	125	0	0	0	0	0	0	0	0	23	212
IS17.26F.S89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	30	0	0	0	64	0	74371	0	0	0	0	0	0	0	245	4	0	0	0	0	0	0	0	0	127
IS17.27F.S90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	59	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	67471	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	103
IS17.28F.S91	0	13	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	27	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	9	0	0	0	15	0	49622	0	0	0	0	0	0	12	15	1	0	0	0	0	0	14	0	0	54
IS17.29F.S92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	61939	0	0	0	0	0	0	43	0	5	0	0	0	0	0	0	0	0	68
