0319-6G20	37-13	67-14	Acetobacteraceae	Acidobacteriaceae_(Subgroup_1)	Actinomycetaceae	AKIW781	Akkermansiaceae	Amoebophilaceae	Anaerolineaceae	Anaplasmataceae	Archangiaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Bdellovibrionaceae	Beijerinckiaceae	BIrii41	Blastocatellaceae	Blattabacteriaceae	Brevibacteriaceae	Burkholderiaceae	Caedibacteraceae	Carnobacteriaceae	Caulobacteraceae	Cellulomonadaceae	Cellvibrionaceae	Chitinibacteraceae	Chitinophagaceae	Chthoniobacteraceae	Chthonomonadaceae	Clostridiaceae_1	Corynebacteriaceae	Crocinitomicaceae	Cryptosporangiaceae	Cytophagaceae	Deinococcaceae	Dermabacteraceae	Dermacoccaceae	Devosiaceae	Dietziaceae	Diplorickettsiaceae	Dongiaceae	Enterobacteriaceae	env.OPS_17	Erysipelotrichaceae	Family_X	Family_XI	Family_XI_2	Family_XI_2II	Family_XII	Flavobacteriaceae	Frankiaceae	Fusobacteriaceae	Gaiellaceae	Gemmataceae	Gemmatimonadaceae	Geodermatophilaceae	Halomonadaceae	Helicobacteraceae	Hymenobacteraceae	Hyphomonadaceae	Iamiaceae	Ilumatobacteraceae	Isosphaeraceae	JG30-KF-CM45	KF-JG30-B3	Kineosporiaceae	Labraceae	Lachnospiraceae	Lactobacillaceae	Legionellaceae	Leptospiraceae	Leptotrichiaceae	Methanobacteriaceae	Methanomethylophilaceae	Methylophilaceae	Methylopilaceae	Microbacteriaceae	Micrococcaceae	Micromonosporaceae	Microscillaceae	Microtrichaceae	Mitochondria	Moraxellaceae	Muribaculaceae	Mycobacteriaceae	Nakamurellaceae	Neisseriaceae	Nitrosomonadaceae	Nitrososphaeraceae	Nocardiaceae	Nocardioidaceae	NS11-12_marine_group	Oligoflexaceae	p-2534-18B5_gut_group	P3OB-42	Paenibacillaceae	Paracaedibacteraceae	Parachlamydiaceae	Pasteurellaceae	Pedosphaeraceae	Pirellulaceae	Planococcaceae	Polyangiaceae	Porphyromonadaceae	Prevotellaceae	Prolixibacteraceae	Propionibacteriaceae	Pseudomonadaceae	Pseudonocardiaceae	Pyrinomonadaceae	Reyranellaceae	Rhizobiaceae	Rhodanobacteraceae	Rhodobacteraceae	Rhodocyclaceae	Rickettsiaceae	Rikenellaceae	Rubinisphaeraceae	Rubritaleaceae	Ruminococcaceae	Saccharimonadaceae	Saprospiraceae	SC-I-84	Schlesneriaceae	Solibacteraceae_(Subgroup_3)	Solimonadaceae	Solirubrobacteraceae	Sphingobacteriaceae	Sphingomonadaceae	Spirochaetaceae	Spirosomaceae	Spongiibacteraceae	Sporichthyaceae	Staphylococcaceae	Streptococcaceae	Streptomycetaceae	Tepidisphaeraceae	UBA12409	Unknown_Family	Veillonellaceae	Verrucomicrobiaceae	WD2101_soil_group	Weeksellaceae	Xanthobacteraceae	Xanthomonadaceae	NA
CR17.21F.S76	0	0	0	12	0	0	0	0	0	0	1444	0	0	0	0	0	87	0	0	0	0	173	20	0	27	0	0	0	0	0	0	1	0	0	0	0	0	0	0	21	0	0	0	12	0	0	0	0	0	0	0	5	0	0	10	9	0	0	0	0	108	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	4	64	0	0	0	49	19	0	0	54465	0	0	0	0	0	0	0	0	0	0	0	0	224	0	95	0	0	0	0	0	0	0	0	0	0	0	0	13	0	263
CR17.22F.S77	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	157	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	52	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	78149	0	0	0	0	0	0	0	0	0	0	0	87	54	3	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	20
IS17.21F.S84	34	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	155	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	35	0	0	0	0	4	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	4	2	0	0	0	19	0	36	0	73117	0	0	0	28	0	0	0	0	0	0	0	1	386	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120
IS17.22F.S85	0	0	0	0	0	0	0	0	0	0	2	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	28	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62035	0	0	0	0	0	0	0	0	0	0	0	0	26	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
IS17.23F.S86	0	0	0	0	0	0	0	0	0	0	6485	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	5	44	0	0	0	0	21	0	0	43239	0	0	0	0	0	0	0	0	0	0	0	49	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	49
IS17.24F.S87	0	0	0	0	0	0	0	206	0	0	1	0	0	0	102	0	8	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	175	0	0	0	0	0	0	0	27	27	0	93	0	30	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	45	0	0	0	0	2	0	0	0	53299	33	0	0	61	0	0	0	0	0	0	0	0	325	21790	0	0	0	0	171	0	0	0	0	76	0	0	0	10	0	291
IS17.25F.S88	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	37	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	8	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	59083	0	0	0	0	0	0	0	0	0	0	0	62	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212
IS17.26F.S89	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	74370	0	0	0	0	0	0	0	0	0	0	0	0	245	4	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	191
IS17.27F.S90	0	0	0	0	0	0	0	0	0	0	19238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	48233	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119
IS17.28F.S91	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	9	0	0	0	0	0	0	0	49621	0	0	14	0	0	0	0	0	0	0	0	12	15	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92
